response,age,income,response_pt_2,age_range,trigrams
We've had to cut down on expenses,30.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  We've had to cut down on expenses,25-34,[]
a lot. Cut hours loss in wages it adds up,36.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  a lot. Cut hours loss in wages it adds up,35-44,"[('lot', 'cut', 'hours'), ('cut', 'hours', 'loss'), ('hours', 'loss', 'wages'), ('loss', 'wages', 'adds')]"
owe taxes,40.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  owe taxes,35-44,[]
my roommate is in the hospital alone because I cannot get there for him,54.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  my roommate is in the hospital alone because I cannot get there for him ,45-54,"[('roommate', 'hospital', 'alone'), ('hospital', 'alone', 'get')]"
Its hard for me yo get foid,28.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Its hard for me yo get foid,25-34,"[('hard', 'yo', 'get'), ('yo', 'get', 'foid')]"
Retired and increased food costs etc made it hard to budget and survive,68.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Retired and increased food costs etc made it hard to budget and survive ,65+,"[('retired', 'increased', 'food'), ('increased', 'food', 'costs'), ('food', 'costs', 'etc'), ('costs', 'etc', 'made'), ('etc', 'made', 'hard'), ('made', 'hard', 'budget'), ('hard', 'budget', 'survive')]"
Savings is being depleted,55.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Savings is being depleted,55-64,[]
no extra money,65.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  no extra money,65+,[]
Hurts when shopping for groceries as prises are high,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Hurts when shopping for groceries as prises are high ,55-64,"[('hurts', 'shopping', 'groceries'), ('shopping', 'groceries', 'prises'), ('groceries', 'prises', 'high')]"
can't afford te usual things,65.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  can't afford te usual things,65+,"[('ca', 'afford', 'te'), ('afford', 'te', 'usual'), ('te', 'usual', 'things')]"
Scary to see if | have money to pay my bills,62.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Scary to see if | have money to pay my bills,55-64,"[('scary', 'see', 'money'), ('see', 'money', 'pay'), ('money', 'pay', 'bills')]"
lam a self employed artist and art sales are down so it is a hardship,71.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  lam a self employed artist and art sales are down so it is a hardship ,65+,"[('lam', 'self', 'employed'), ('self', 'employed', 'artist'), ('employed', 'artist', 'art'), ('artist', 'art', 'sales'), ('art', 'sales', 'hardship')]"
It has impacted me very badly,21.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has impacted me very badly,18-24,[]
1am unable to pay bills and unable to afford food and necessities,26.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  1am unable to pay bills and unable to afford food and necessities ,25-34,"[('1am', 'unable', 'pay'), ('unable', 'pay', 'bills'), ('pay', 'bills', 'unable'), ('bills', 'unable', 'afford'), ('unable', 'afford', 'food'), ('afford', 'food', 'necessities')]"
it's been a budgeting nightmare & struggling to make ends meet & job hours have been substantially cut,55.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  it's been a budgeting nightmare & struggling to make ends meet & job hours have been substantially cut ,55-64,"[('budgeting', 'nightmare', 'struggling'), ('nightmare', 'struggling', 'make'), ('struggling', 'make', 'ends'), ('make', 'ends', 'meet'), ('ends', 'meet', 'job'), ('meet', 'job', 'hours'), ('job', 'hours', 'substantially'), ('hours', 'substantially', 'cut')]"
I lost my home,40.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I lost my home,35-44,[]
I'm losing everything | got,48.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I'm losing everything | got,45-54,"[('losing', 'everything', 'got')]"
We are behind on bills.,44.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  We are behind on bills.,35-44,[]
It has made have to rely on a Food Pantry,62.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has made have to rely on a Food Pantry,55-64,"[('made', 'rely', 'food'), ('rely', 'food', 'pantry')]"
no food and housing,62.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  no food and housing,55-64,[]
It’s been hard because I’m afraid of getting corona.,20.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  It’s been hard because I’m afraid of getting corona. ,18-24,"[('hard', 'afraid', 'getting'), ('afraid', 'getting', 'corona')]"
"It has kept me from preparing for any future expenses. | have not been able to by extra essentials in case I, or someone in my house catches the corona virus and we must isolate at home.",67.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  It has kept me from preparing for any future expenses. | have not been able to by extra essentials in case I, or someone in my house catches the corona virus and we must isolate at home. ",65+,"[('kept', 'preparing', 'future'), ('preparing', 'future', 'expenses'), ('future', 'expenses', 'able'), ('expenses', 'able', 'extra'), ('able', 'extra', 'essentials'), ('extra', 'essentials', 'case'), ('essentials', 'case', 'someone'), ('case', 'someone', 'house'), ('someone', 'house', 'catches'), ('house', 'catches', 'corona'), ('catches', 'corona', 'virus'), ('corona', 'virus', 'must'), ('virus', 'must', 'isolate'), ('must', 'isolate', 'home')]"
LittIr money to buy food and basuc needs,53.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  LittIr money to buy food and basuc needs,45-54,"[('littir', 'money', 'buy'), ('money', 'buy', 'food'), ('buy', 'food', 'basuc'), ('food', 'basuc', 'needs')]"
I live in my car with my dog and can barely feed myself.,31.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I live in my car with my dog and can barely feed myself. ,25-34,"[('live', 'car', 'dog'), ('car', 'dog', 'barely'), ('dog', 'barely', 'feed')]"
IT'S BEEN HARD ON ALL OF US.,66.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  IT'S BEEN HARD ON ALL OF US.,65+,[]
Hard to pay rent and utilities,27.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Hard to pay rent and utilities,25-34,"[('hard', 'pay', 'rent'), ('pay', 'rent', 'utilities')]"
Very difficult,56.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Very difficult,55-64,[]
Less food and high bills to pay,43.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Less food and high bills to pay,35-44,"[('less', 'food', 'high'), ('food', 'high', 'bills'), ('high', 'bills', 'pay')]"
We've had to either find a cheaper version of something or go without,38.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  We've had to either find a cheaper version of something or go without ,35-44,"[('either', 'find', 'cheaper'), ('find', 'cheaper', 'version'), ('cheaper', 'version', 'something'), ('version', 'something', 'go'), ('something', 'go', 'without')]"
im struggling to make ends meet,25.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  im struggling to make ends meet,25-34,"[('im', 'struggling', 'make'), ('struggling', 'make', 'ends'), ('make', 'ends', 'meet')]"
lam retired so every price increase impacts us greatly. We are having to stick with essentials only unless/until another stimulus is passed.,64.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  lam retired so every price increase impacts us greatly. We are having to stick with essentials only unless/until another stimulus is passed.     ,55-64,"[('lam', 'retired', 'every'), ('retired', 'every', 'price'), ('every', 'price', 'increase'), ('price', 'increase', 'impacts'), ('increase', 'impacts', 'us'), ('impacts', 'us', 'greatly'), ('us', 'greatly', 'stick'), ('greatly', 'stick', 'essentials'), ('stick', 'essentials', 'another'), ('essentials', 'another', 'stimulus'), ('another', 'stimulus', 'passed')]"
Hurting paying bills,53.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Hurting paying bills,45-54,"[('hurting', 'paying', 'bills')]"
I have a significant loss in income,40.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  I have a significant loss in income,35-44,"[('significant', 'loss', 'income')]"
Makes it difficult to make ends meet,55.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Makes it difficult to make ends meet,55-64,"[('makes', 'difficult', 'make'), ('difficult', 'make', 'ends'), ('make', 'ends', 'meet')]"
i cannot afford my medications,70.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  i cannot afford my medications,65+,[]
It really makes me unsecured,40.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  It really makes me unsecured,35-44,"[('really', 'makes', 'unsecured')]"
"I have to search harder for some items, and pay more",67.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  I have to search harder for some items, and pay more ",65+,"[('search', 'harder', 'items'), ('harder', 'items', 'pay')]"
Having more aid really helped my family by allowing us to pay off debt while I’m not working,33.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Having more aid really helped my family by allowing us to pay off debt while I’m not working ,25-34,"[('aid', 'really', 'helped'), ('really', 'helped', 'family'), ('helped', 'family', 'allowing'), ('family', 'allowing', 'us'), ('allowing', 'us', 'pay'), ('us', 'pay', 'debt'), ('pay', 'debt', 'working')]"
1 am unable to pay all that needs paid .,54.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  1 am unable to pay all that needs paid .,45-54,"[('unable', 'pay', 'needs'), ('pay', 'needs', 'paid')]"
Ihave had to use savings money to help with childcare,38.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Ihave had to use savings money to help with childcare ,35-44,"[('ihave', 'use', 'savings'), ('use', 'savings', 'money'), ('savings', 'money', 'help'), ('money', 'help', 'childcare')]"
owe taxes,40.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  owe taxes,35-44,[]
1 am cutting back all spending to the bare necessities and looking for a job without much succes,60.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  1 am cutting back all spending to the bare necessities and looking for a job without much succes ,55-64,"[('cutting', 'back', 'spending'), ('back', 'spending', 'bare'), ('spending', 'bare', 'necessities'), ('bare', 'necessities', 'looking'), ('necessities', 'looking', 'job'), ('looking', 'job', 'without'), ('job', 'without', 'much'), ('without', 'much', 'succes')]"
