0
"How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time  Age: 59, Income: Under $25,000  This person is represented by Ann Wagner (R, MO-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  We have been behind on our bills Age: 65, Income: Under $25,000  This person is represented by John Sarbanes (D, MD-03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Retired and increased food costs etc made it hard to budget and survive  Age: 68, Income: $50,001 - $75,000  This person is represented by Raul Ruiz (D, CA- 36), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  can't afford te usual things Age: 65, Income: $50,001 - $75,000  This person is represented by Susan A. Davis (D, CA-53), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Retired and increased food costs etc made it hard to budget and survive  Age: 68, Income: $50,001 - $75,000  This person is represented by Raul Ruiz (D, CA- 36), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I had to cut back on some things spend less money  Age: 68, Income: $25,000 - $50,000  This person is represented by Gregory W. Meeks (D, NY-05), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief.  Since the HEROES Act passed the house in May,  it has been blocked by Republican Senate leader  Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  We are behind on bills. Age: 44, Income: Under $25,000  This person is represented by Virginia Ann Foxx (R, NC-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Need to have more stimulus payments Age: 64, Income: $25,000 - $50,000  This person is represented by Ron Kind (D, WI- 03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  it has hurt my family Age: 44, Income: $25,000 - $50,000  This person is represented by Ted Yoho (R, FL-03), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has made have to rely on a Food Pantry Age: 62, Income: $25,000 - $50,000  This person is represented by Daniel A. Webster (R, FL-11), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Need to have more stimulus payments Age: 64, Income: $25,000 - $50,000  This person is represented by Ron Kind (D, WI- 03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  badly Age: 22, Income: $50,001 - $75,000  This person is represented by Kendra Horn (D, OK-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Its hard for me yo get foid Age: 28, Income: $25,000 - $50,000  This person is represented by Brendan Francis Boyle (D, PA-02), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Savings is being depleted Age: 55, Income: $25,000 - $50,000  This person is represented by Greg Walden (R, OR-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Havent been able to pay bills on time and struggling to provide for my family  Age: 41, Income: $25,000 - $50,000  This person is represented by Daniel A. Webster (R, FL-11), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  just financially i am failing Age: 36, Income: $100,001 - $150,000  This person is represented by Bradley Byrme (R, ‘AL-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Broke Age: 23, Income: $75,001 - $100,000  This person is represented by Stephen Cohen (D, TN-09), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has been a struggle but am able to pay bills just not afford as much food  Age: 63, Income: $25,000 - $50,000  This person is represented by Jim Costa (D, CA- 16), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Unpaid bills Age: 52, Income: $25,000 - $50,000  This person is represented by Anderson Drew IV Ferguson (R, GA-03), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I have decreased my overall spending Age: 50, Income: Under $25,000  This person is represented by Ross Spano (R, FL- 15), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
